职业类型,职业名称,薪资,地址,资历,学历要求,职业类型,职业简介,公司名称,公司规模,公司类型,时间
实施顾问,erp实施顾问(财务方向),6-11K,济南,1-3年,本科,"Oracle EBS/Fusion
SAP
财务相关专业
可适应出差","岗位职责：
1、负责财务项目的实施，不限于财务核算，资金，预算，合并等领域；
2、主导实施方案出具及跟进；
3、负责系统配置、系统测试、培训文档及用户手册撰写及上线支持工作；
4、负责用户培训工作及知识转移；
5、负责项目现场问题的跟进和解决；
6、上线的其他工作。
任职要求：
1、大学本科以上学历，财务管理专业或信息化专业，
2、2年以上财务ERP项目实施经验，有中、大项目的实施交付经验优先；
3、熟悉财务系统(总账、出纳、应收、应付、固定资产、费用核算、存货核算、成本核算、资金管理、财务报表、合并报表、全面预算)相关实施经验。
4、有金蝶星翰财务产品应用经验，有资金、合并报表、全面预算、成本核算实施经验者优先。
5、可接受项目出差，工作积极主动，学习和抗压能力强，具备良好的沟通协调和解决问题能力。",润建股份,1000-9999人,互联网,2024上半年
实施顾问,软件实施实习生,100-150元/天,广州,3天/周 3个月,大专,"实施工程师/顾问
软件实施
硬件实施
技术管理
软件应用培训
交接现场培训
项目验收
开发软件调试维护","1、协助软件实施顾问完成项目实施工作。
2、帮助客户完成数据标准化。
3、完成公司交办的其他工作事项。",安博网络,20-99人,移动互联网,2024上半年
实施顾问,金蝶ERP实施顾问,7-12K·13薪,深圳,1-3年,大专,"ERP
熟练掌握SQL语句
财务相关专业
计算机相关专业","负责金蝶云星空ERP系统实施，本职位需要有2年以上相关工作经验，熟练掌握金蝶云星空基本流程、熟练掌握云星空各模块操作、配置，理解并掌握ERP系统实施方法论，有云星空全模块实施经验，至少交付过三个以上云星空全模块项目。
实施顾问成长路线： 实施顾问---高级实施顾问--实施团队负责人--公司合伙人。",深圳市易尔普软件,0-20人,计算机软件,2024上半年
实施顾问,咨询顾问,5-7K,青岛,经验不限,本科,"软件实施经验
Oracle EBS/Fusion
熟练掌握SQL语句
TMS
WMS
可适应出差","岗位职责：
1、 协助项目经理实施项目，包括项目调研、业务蓝图设计、功能需求书撰写、安装配置及培训等，确保项目按时按质完成；
2、 和客户保持密切沟通，做好用户的日常培训，协调解决项目实施过程中遇到的问题；
3、 项目实施过程中内、外部项目需求资料、文档收集整理，与开发团队的工作沟通和协调；
4、 参与项目实施过程验收，协助项目经理总结项目实施经验，丰富实施知识库。
岗位要求：
1、 计算机或物流相关专业，有仓储管理软件WMS经验者优先；
2、 逻辑能力强，文档撰写能力佳；
3、 具备良好的表达沟通和协调能力，分析与解决问题、项目掌控能力，工作积极主动，具备良好的团队精神，强烈的责任心和敬业精神，能够适应出差。",FLUX,500-999人,计算机软件,2024上半年
实施顾问,SAP-FICO顾问,15-22K·13薪,广州,5-10年,大专,SAP,"职责描述：
入职或Free顾问
1、6年及以上FICO实施顾问经验，1个以上FICO完整项目实施经验，熟悉相应模块的业务流程及配置，能够独立完成项目的实施，了解制造行业的基本流程；
2、具备较好的本模块业务方案能力及设计文档的交付能力；
3、具有良好的语言表达能力和人际沟通技巧，具有良好的团队合作精神；",广州同伟信息科技,20-99人,计算机软件,2024上半年
实施顾问,财务实施顾问（非SAP）,8-11K,郑州,3-5年,大专,"ERP
OA
财务相关专业
大型财务相关经验","1、IT应用系统实施工作经验3年以上；
2、有财务共享系统实施交付经验 例如 中兴新云、元年、金蝶、用友、浪潮等大型企业财务软件交付经验；
3、能够完成需求调研、业务流程梳理、业务问题诊断、出具系统的解决方案，配合完成相关需求及项目交付工作；
4、能够分析用户需求，结合系统转换业务用户需求，最终将需求转换为系统实现；
5、有过完整的项目实施经验优先；
6、有较强的内驱力，抗压能力强；
7、请优选筛掉服务器运维、网络运维等简历，要求沟通能力强，抗压能力强，需求人员为日常系统运维需求及项目需求，长期使用。
8、有财务相关项目的项目管理经验优先。",郑州思博科,20-99人,互联网,2024上半年
实施顾问,Loan management consultant,35-50K,北京,10年以上,本科,"banking
解决方案","The following is the key capabilities.
1. In Depth of knowledge of Commerical Loans business process.
2. Ability to work with Senior Managers of the Finance department of the Bank for implementation of LMS system.
3. Project Management from Business side of the LMS system implementation.
4. Ability to grasp the process in the product to be implemented and change current practices.
5. Coordinate with vendor on the functional side of requirement and manage scope and timeline of the implementation.
6. Status reporting and Risk Management for the project.
About 15+ years experience in Banking or anyone who is a freelance consultant after solid Banking Business experience will be a fit.",思德谱,20-99人,计算机软件,2024上半年
实施顾问,售服员,4-5K,东莞,1-3年,中专/中技,实施,"维修岗位职责：
1负责公司主轴系列产品售后服务，责任心强。
2现场独立排除主轴及相关故障.
3指导客户正确使用，维护，保养主轴，打刀缸系列。
4.现场培训客户操作人员正确使用主轴注意事项。
5.及时反馈售服主轴需改善环节。
6.及时处理客户报修问题，确保客户满意。
职位要求；
中专及以上机械工程专业。有良好沟通及售后服务经验。身体健康，适应经常出差。",亚资科技股份有限...,100-499人,机械设备/机电/重工,2024上半年
实施顾问,软件实施,9-14K,北京,3-5年,本科,"ERP
计算机相关专业
财务相关专业","岗位职责:
1.负责财务报销域相关项目的需求调研及梳理、业务解决方案设计、系统测试、数据收集、系统实施、上线支持以及问题解决。
2.负责按照客户或团队要求完成相关项目文档的撰写及项目支持工作。
3.负责整理用户培训材料，够独立开展用户培训工作。
4.负责对上线系统的运维支持，包括用户沟通、问题收集、解答等。
岗位需求:
1.财务或相关专业本科及以上学历，3-5年工作经验。
2.具有财务域相关的工作经验，熟悉费控报销业务流程，熟悉ERP应收，应付，总账，资金等一个或多个业务的优先。
3.具有erp财务模块，财务共享，资金管理等系统模块实施经验。
4.熟悉Sap，用友，金蝶，易快报等国内财务软件的优先。
5.有完整项目实施经验优先。
6.抗压能力强，能否适应短期出差。",河北正业软件科技,100-499人,计算机服务,2024上半年
实施顾问,SAP MM,11-20K,上海,3-5年,本科,SAP MM,"?任职要求：
1、本科及以上学历，计算机专业、信息管理专业等相关专业；
2、2~10年离散制造型企业MM模块实施和运营经验，具有至少3个完整SAP实施项目，并作为主责模块顾问经验；
3、具备SAPMM全部功能配置能力和，掌握SAPMM系统逻辑；熟悉采购、物料管理的业务流程；
4、具备优秀的沟通协调能力和团队合作精神，具备较强的学习和理解能力，能够独挡一面。
5、有项目管理经验优先考虑；有很强的创新意识和互联网思维，能够通过创新的思路给供应商协同业务提供前瞻性的系统应用方案；有较强的逻辑思维能力，热爱技术，善于思考，具备独立解决问题的能力和意识；
6、有强烈的责任心和团队精神，积极主动、善于沟通和合作，自我驱动完成工作目标。",上海天涛,100-499人,游戏,2024上半年
实施顾问,ERP实施顾问（制造业经验优先）,10-15K,深圳,3-5年,大专,"ERP
WMS
软件实施经验
可适应出差
易助
易飞","工作内容：
1、负责项目的实施项目管理，深入客户现场，了解企业管理特点和工作流程，准确把握用户需求，有针对性的指导用户实现企业的产品信息化；
2、帮助客户成功上线ERP软件，根据实施方法论，主导项目实施；
3、通过专业的顾问，辅导客户成功实施和应用ERP系统，结合客户管理信息化需求，主导ERP项目实施，向客户最大限度的传递ERP系统的应用价值；
4、持续总结项目实施经验、形成项目知识文档，并进行内部知识共享。
任职要求：
1、大专及以上学历，3-5年制造业ERP实施经验；
2、熟悉制造业生产制造或财务等流程，对制造业管理及运作问题有深入了解；
3、良好的组织协调能力和沟通能力、学习能力、应变能力，良好的项目文档撰写能力；
4、有很好的团队合作精神和敬业精神，能适应省内出差。",鼎为软件,20-99人,计算机软件,2024上半年
实施顾问,技术实施顾问,5-10K,烟台,经验不限,大专,"实施工程师/顾问
软件实施","技术实施顾问
岗位职责：
1.为公司目前开发或代理销售的软件产品进行售前、售中、售后的技术实施及服务工作；
2.做好项目实施前的调研、并如实编写调研报告；
3.根据客户需求确定软件流程，并进行测试以确保流程的可行性，编写软件流程文档；
4.安排客户进行培训，整理培训文档及客户签字文档；
5.现场跟踪客户使用情况，解决使用中的问题及需求；
6.对于涉及研发的项目，负责软件的安装、问题处理及进程跟踪；
7.辅助销售环节提供相应的技术支持和部分咨询工作。
任职要求：
1、2年企业管理软件技术实施工作，从事过企业ERP等软件实施的优先录用；
2、无经验优秀者也可录用，要求踏实、肯干，有较好的基础及良好的学习能力；
3、技能技巧：具备软件行业相关知识；有良好的语言表达和沟通能力；思路清晰，有一定的人际交往技巧；
4、工作态度：有强烈的责任心；良好的执行能力；优秀的团队合作意识；
5、较强的分析、规划、组织，良好的业务理解能力，能够挖掘业务的深层次需求。
工作时间：8:00-5:00，周末双休，节假日休息，各项补贴
加分项
有以下行业经验：计算机软件",博诚经纬,100-499人,计算机软件,2024上半年
实施顾问,实施顾问,10-15K,龙岩,3-5年,大专,"PLM
软件实施经验
ERP
SAP
Oracle EBS/Fusion
Netsuite
PMI-ACP
CRM
可适应出差","岗位职责：
1.深度了解公司的产品以及客户情况，不断提升自己的专业度，为客户提供顾问式的服务；
2.对接客户问题处理、产品培训、业务咨询等工作，建立良好的客情关系；
3.负责已签约客户的续费洽谈、二次成交；
4.通过电话和网络等形式，定期回访客户，了解和分析客户的线上运营需求，提供行业市场分析和运营建议，帮助客户成功，为客户赋能；
5.收集客户反馈，不断优化和提升公司产品与服务，帮助客户更好使用公司产品；
6.透过深度服务，向客户传递产品价值，再通过客户的圈子获取转介绍，挖掘新的合作机会。
任职要求：
1.大专及以上学历，3年以上PLM/ERP/MES/SRM/CRM等工业软件实施经验，具备SAAS软件实施经验优化考虑;
2.具备良好的沟通和协调能力，有效地组织和协调团队工作；
3.具有较强的自学能力和接受能力，具有良好的问题分析及解决能力;
4.具有规范的文档编写能力，能够编写WBS、SOW、项目计划等各类项目文档;
5.有良好的客户服务意识，具有客户整体经营能力；
6.工作积极主动、细致、勤勉、踏实;
7.能够适应国内出差工作；
加分项
有以下行业经验：信息安全",福建科烨,20-99人,通用设备,2024上半年
实施顾问,中高级实施顾问/项目经理,10-15K,北京,5-10年,大专,"实施工程师/顾问
软件应用培训
软件实施
Oracle
售前支持
项目验收
交接现场培训
操作系统安装调试","职位描述：
1、负责公司ERP系统项目实施全流程管理
2、协助客户完成企业信息化整体规划，服务企业战略，实现企业信息化转型
3、负责系统计划、测试、确保信息系统按目标落地
4、完成领导安排的其他任务。
任职要求：
1、5年以上ERP项目管理经验，最好实施过集团化公司ERP系统项目
2、大学本科或以上学历，计算机，通信工程，电子信息工程，电子信息化专业
3、年龄 28~35
4、沟通能力、执行力强，善于总结经验和方法，具备一定的文档撰写能力，能够承担工作压力；
5、有PMP证书者优先，实施过SAP、ORACLE、用友、金蝶、鼎捷等主流ERP项目者优先；
加分项
有以下行业经验：企业服务·移动互联网·财务/审计/税务",企企科技,100-499人,企业服务,2024上半年
实施顾问,实施顾问,4-7K,海口,1-3年,本科,"ERP
OA","1、熟悉数据库基本操作，能够安装sqlserver或oracle至少一种，能够理解产品数据字典。
2、善于沟通，在规定时限内完成标准软件产品调研、实施，定期汇报。
3、在实施过程中整理、归纳客户需求，与研发协调沟通，落实、跟进研发进度，实景测试研发内容，定期汇报。
3、以现场交付为目标学习公司经营的产品，产品以用友ERP、U8、U8C、NC，致远A6、A8为主。有研发团队及自主开发产品。
4、正常上班时间为08:00~12:00，14:30~18:00，双休。每月一次月会为月底或月初周六上午。
5、有项目需要时能够接受海口市外省内出差驻场实施，一般工期在一个月到六个月不等。",海南思凡,20-99人,计算机软件,2024上半年
实施顾问,Oracle EBS/Fusion - 北上广深,26-50K·13薪,上海,5-10年,本科,Oracle EBS/Fusion,"职位介绍
1. Oracle EBS 财务模块熟练（AP/AR/GL/FA/CE/Costing)， 有5年以上实施经验，懂中国本地化报表及一些功能方案，懂金税接口方案 Oracle EBS 实施顾问-采购供应链模块： . Oracle EBS 采购模块熟练，包含isupplier，iprocurement，采购、库存、质量、WMS。5年以上实施经验
2. 有global项目实施经验，海外工作经历优先
3. 英语流利（必须），接受出差（包括海外出差）
4. 统招本科以上学历；
5. 有咨询行业背景者优先入职地：北京，上海，广州，深圳",德勤,10000人以上,咨询,2024上半年
实施顾问,高级实施顾问,12-20K,宁波,5-10年,本科,"ERP
财务相关专业
软件实施经验
可适应出差","岗位职责：
1、负责金蝶云星空财务供应链项目实施、ERP系统的项目实施、项目管理与过程监控，确保项目进程。
2、负责项目的方案定制，需求调研，需求文档撰写，测试及上线工作。
3、进行售前产品演示，实现方案设计及讲解。
岗位要求：
1、具有本科以上学历，5年以上项目实施经验。
2、有财务供应链项目实施、ERP软件实施经验、项目管理经验者优先。
3、了解特定管理软件领域(ERP、SCM、CRM等)基本理念、原理，熟悉财务业务流程者优先。
4、有较强的沟通、表达、协调能力。
5、可适应出差。",软联科技,0-20人,计算机软件,2024上半年
实施顾问,实施项目经理（江苏省内出差）,5-10K,苏州,5-10年,大专,"WMS
可适应出差
软件实施经验
熟练掌握SQL语句
实施工程师/顾问
实施
项目
sql","实施顾问
岗位职责:
1、进行系统需求调研并与公司产品进行差异分析，将管理思维转化为业务流程；
2、根据业务逻辑，编写存储过程等脚本(MS SQL数据库）；
3、制定项目需求调研文档，对业务需求进行访谈，并制定项目的蓝图方案；
4、制定WBS，推进项目，培训指定客户及解决实施碰到的问题;
5、与客户高层建立沟通渠道，负责项目款项的催收；
任职资格：
1、专科以上学历，计算机\管理\纺织或相关专业毕业，具有2年以上纺织、服装行业的ERP软件项目的实施和项目管理经验，独立负责过财务、生产、供应链至少一个领域的全程实施者优先；
2、熟练掌握sqlserver及sql语言，对计算机网络知识有一定了解。
3、有较强的业务理解能力，擅长对客户需求进行引导和挖掘，并根据客户需求制定合理的实施方案；
4、能够独立撰写规范的业务需求文档和功能需求文档，熟悉VISIO流程图绘制；
5、工作积极主动，良好的沟通协调能力、较强的风险意识，能够敏锐的觉察项目的异常，及时协同相关资源；
6、能适应驻厂出差。家庭地址在长三角地区、珠三角地区、潮汕地区的交通便利城市人士优先。
其它：
本岗位为省内项目出差性质，无特定base公司某基地办公室要求，要么在项目上出差，要么在家里休息，要么在出差往返的路上。",环思智慧,100-499人,计算机软件,2024上半年
需求分析工程师,需求分析工程师,8-13K·13薪,北京,1-3年,本科,"原型设计
visio
Axure
word","职位关键词：
原型设计，Axure，word，Visio
职位说明：
1、负责调研 和收集客户要求，梳理业务流程和系统设计，完成需求规格说明书;
2、与开发人员对接需求，负责开发过程中的需求把控、测试、bug跟踪及现场实施;
3、沟通表达能力良好，思维逻辑清晰，有较强的学习能力;
4、完成项目监控、协调工作，参与实施、培训、推广等文件资料的编写。
5、会用原型工具
任职要求：
1、本科及以上学历，计算机相关毕业;
2、1年以上软件相关工作经验、1年以上需求分析工作经验;
3、熟练使用Visio等设计工具。
4、具有较强的沟通能力及逻辑判断能力，对产品设计、产品分析、数据分析等有独到见解。",华昌致信,20-99人,计算机软件,2024上半年
需求分析工程师,需求分析师,7-12K·13薪,廊坊,1-3年,大专,"新能源
电力物联
电力咨询","职位描述：
1.对用户进行需求调研，根据用户的表述编制需求文件；
2.根据用户需求，从本部门实际出发分析可行性，并制作项目需求分析报告；
3.根据客户需求，连接相关部门完成市场、商务、技术端的工作对接；
4.协助项目进行相关项目需求规划和需求反馈确认；
5.参与项目交付工作。
任职要求：
1.5年以上工作经验，2年以上需求分析、咨询服务工作类岗位；
2.有过软件、咨询、新能源、智慧物联等行业经验；
3.熟练掌握日常办公软件及相关需求专业性软件，具备编写整体方案能力；
4.有较强逻辑性和判断力，能准确理会领导及客户意图；
5.专科以上学历",山东华清,100-499人,计算机服务,2024上半年
需求分析工程师,BA,10-15K·13薪,上海,3-5年,本科,"软件需求分析
原型设计","岗位职责：
1、业务调研及客户访谈（制定调研大纲，设计问题清单；客户访谈，需求挖掘及引导；汽车业务趋势分析及竞争对手分析）
2、需求分析及数据分析（对客户需求进行分析并编制业务流程图、数据流程图、系统边界图等需求文档；使用相关工具对数据进行统计分析，可视化分析以及进行报表设计；制作数据分析报告）
3、解决方案设计（设计交互原型图、业务流程图、设计数据分析流程、系统流程、制作项目解决方案、汇报材料）
4、售前（根据客户需求，设计对客户有价值的售前解决方案；主导完成PPT报告并向客户演示；配合销售完成打单工作）
5、项目持续跟进（对项目实施中的需求变更进行维护、改进与完善）
6、跨部门沟通协调；
职位要求：
1.3-5年工作经验；
2.计算机、统计学、数学及相关专业，本科及以上学历；
3.能够熟练使用Office套件、SQL等工具，了解大数据平台、ETL全过程和数据仓库优先；
4.有java开发、测试工作经验者优先；
5.工作积极主动，责任心强，具有较强的学习能力和团队合作精神，思路清晰，具备良好的沟通能力，善于引导客户需求，
6.可独立开展需求调研和数据分析，并能结合数据及业务场景提供解决方案。
加分项
有以下行业经验：互联网·计算机软件",数策股份,100-499人,计算机软件,2024上半年
需求分析工程师,应用工程师（生物制药）,15-25K,上海,经验不限,本科,需求验证,"1.协助市场总监开拓市场，为意向客户提供技术自诩服务及应用解答（生物制药行业）；
2.结合客户反馈，提出产品迭代优化需求；
3.根据客户URS,定义产品边界及流程确认；
4.协助市场、产品经理，对客户进行分离机的介绍及工艺解答；
5.协助销售经理制定设备、系统的技术方案、客户介绍和技术说明；
适应出差，较强的英语听说读写能力
工作时间：8点30-17点30，双休。
加分项
有以下行业经验：医疗器械·生物/制药·机械设备/机电/重工",思勃,0-20人,机械设备/机电/重工,2024上半年
需求分析工程师,需求分析师,4-7K,重庆,1-3年,本科,"Axure
Visio","工作内容：
1、负责产品的需求调研，了解、引导客户需求，挖掘市场潜在需求，分析业务需求形成业务流程、用例图和逻辑图，撰写软件需求规格说明书，输出可交付原型；
2、负责在研发和测试人员的业务需求培训，协助开发人员、UI设计人员、测试人员理解全部业务需求；
3、负责上线前的用户培训和用户手册编写，上线后及时跟踪、汇总用户反馈需求；
4、负责撰写公司相关的宣传文章、方案及售前解决方案；
5、持续进行产品需求迭代，能够及时从用户需求中提取出产品优化或迭代需求；
6、配合商务进行售前工作；
7、项目经理和公司其他工作安排。
技能要求：
1、熟练使用Axure、visio、xmind等工具；
2、有多个软件项目经验，至少有1-2个完整项目经验；
3、较强的与客户进行沟通的能力，能够根据客户的描述，将用户的需求转化为软件实现需求；
4、具有较强的逻辑思维能力和抽象提炼能力；
5、具有良好的团队协作精神，较强的学习能力和沟通协调能力；
6、抗压能力较强、在项目组较忙情况下，能接受加班。
加分项
有以下行业经验：计算机软件",鲲之翼科技,20-99人,计算机软件,2024上半年
需求分析工程师,AI应用需求分析,5-10K,株洲,经验不限,大专,"软件需求分析管理经验
美术设计
平面设计
装饰设计","岗位职责：
1、熟练应用CAD、PS、AE、Word、Excel、PPT等设计和办公软件；
2、熟悉海报设计、DM设计、二维动画制作、短视频策划、剪辑和后期制作；
3、熟练应用各类AI工具，如：文本类 OpenAI（ChatGPT）,Gemini ，文心一言，图片类 Midjourney，Stable Diffusion、DALL·E 2， 视频类 D-id,heygen,openAi(sora) ，Pr、达芬奇、Au 等；
4、充分了解业务需求，并与内部开发团队密切合作，以指导人工智能产品的供应方向和使用落地；
5、对人工智能产品和最新技术应用进行内部培训，使业务部门也能熟练进行AI应用。",株洲王府星茂商业管理,100-499人,批发/零售,2024上半年
需求分析工程师,业务需求分析师,6-10K,珠海,3-5年,本科,"Axure
计算机/软件工程相关专业
软件研发经验
软件需求分析管理经验","岗位职责：
1、负责产品的需求挖掘，引导及协助客户确认需求范围；
2、根据客户需求，与客户一起规划企业业务蓝图；
3、根据功能清单和业务蓝图输出原型和需求规格说明书；
4、负责用户培训、操作手册编写、业务测试；
5、负责控制并分析客户个性需求，并与公司研发人员一起给客户提供解决方案。
任职工作：
1、全日制本科及以上学历，计算机、软件工程、信息管理相关专业；
2、3年以上软件需求分析或售前工作经验；
3、优秀的沟通能力，能够清晰准确的与客户沟通交流业务需求，与设计开发人员解释业务需求；
4、优秀的软件需求分析、界面交互设计能力，能准确把握客户需求，能对客户需求进行良好分析和引导；
5、优秀的文档编写能力，能独立编写项目需求、规划方案、讲解方案和演示系统；
6、良好的客户交流引导能力和呈现掌控能力，有一定的应变能力，具备较强的承压能力；
7、熟悉运用PowerPoint、Project等工具；
8、良好的英语沟通及读写能力。",先皓科技,20-99人,计算机软件,2024上半年
需求分析工程师,MES实施顾问,5-10K,许昌,3-5年,大专,软件实施,"1.负责MES系统软件实施，包括现场调研、解决方案设计、流程优化、数据整理、用户培训工作；
2.提供现场实施辅导支持；
3.能够及时发现问题、反馈问题，提升内部知识库的积累；
4.提供内部技术支持、培训，及客户培训工作；
5.保持与项目组成员的良好沟通，保证项目进程与质量；
6. 负责项目档案管理，及时归档项目文件；
岗位要求：
1.大专以上学历，计算机、信息管理、工业自动化等相关专业；
2. 熟悉制造业生产制造业务，有至少三年制造行业MES从业经验，对现场生产制造管理、生产跟踪、质量管理、生产物流等有深刻理解；对自动化设备整合系统有一定了解；
3.能够熟练使用Excel进行数据整理、分析； 熟练使用PPT、Word及Visio等工具；
4.具备一定的项目管理经验，能够合理控制客户关系与项目进度；
5.中级、高级各一名；
加分项
有以下行业经验：仪器仪表/工业自动化",玥鲲科技,20-99人,信息安全,2024上半年
需求分析工程师,金融产品经理,15-20K,南京,3-5年,大专,金融/保险行业项目经验,"岗位职责
1、负责深入理解业务需求，进行高质量的需求分析，确保需求准确、完整地传递给开发团队，并协助团队理解和掌握需求。
2、与业务部门深入沟通，理解业务目标和需求；
3、进行收集、整理、分析业务部门需求，编写需求文档；
4、跟踪需求开发进度，与开发团队保持良好沟通，确保需求准确实施；
5、对上线产品进行验收，确保产品满足业务需求；
任职要求
1、全日制大专及以上学历，有互联网贷款项目经验；
2、5年以上需求分析经验，有良好的业务理解能力；
3、优秀的沟通协调能力，能够与不同部门进行有效沟通；
4、熟练使用需求分析工具，如Axure、Visio等；
5、对常用开发技术有了解；
6、具备强烈的责任心和团队合作精神，能够承受一定的工作压力。",擎空科技,20-99人,移动互联网,2024上半年
需求分析工程师,港航工程师,3-5K·15薪,烟台,经验不限,本科,Visio,"岗位职责：
（1）软件设计：负责软件产品的需求调研、方案设计、测试及实施工作
（2）调研咨询：负责咨询类项目现场调研、咨询实施、报告编制等工作
岗位要求：
（1) 本科及以上学历
（2）要求港航相关专业或安全相关专业
（3）对软件研发、调研咨询工作有兴趣
（4）具备良好的沟通表达能力
（5）具备各类文件编写能力
（6）具备用户需求清晰捕捉、逻辑转换为软件系统能力
（7）熟练使用Office工具，包括Word、Excel、PPT、Visio、Project
（8）面对客户、公司、部门及委托人工作态度端正，不厌烦、不急躁。
职位福利：五险一金、绩效奖金、加班补助、全勤奖、包吃、交通补助、餐补、通讯补助",港通智汇,20-99人,计算机服务,2024上半年
需求分析工程师,需求分析师,12-24K,南通,3-5年,本科,软件需求分析,"职位描述：
1. 根据客户提出的需求设计或优化智慧城市应用、业务流程及展示方案,提升用户体验;
2. 负责撰写软件产品说明书/需求文档,为后期系统开发及测试提供指导与参考,并配合项目团队进行系统开发;
3. 根据需求定义,指导页面设计工程师完成界面原型的设计;
4. 参与产品开发流程,负责需求开发与跟踪,完成需求变更控制与管理;
5. 根据市场需求、信息技术的发展,对智慧城市应用进行创新拓展,并参与智慧城市应用咨询,撰写咨询报告;
6. 熟悉需求管理工具Visio、MindManager、AxureRP等主流需求分析工具
岗位要求:
1、本科以上学历,有2年以上需求分析工作经验优先。
2、熟悉大数据、智慧停车、城市综合治理等业务优先。
3、熟悉智慧城市需要的硬、软件供应商。
4、熟悉政府招投标流程及文件撰写。",江苏阳光智慧城市,20-99人,运营商/增值服务,2024上半年
需求分析工程师,需求分析师,15-20K·14薪,深圳,1-3年,本科,"需求确认
需求管理
需求挖掘
需求说明
需求调研
系统分析
原型设计
需求验证","1、产品常规迭代需求分析：对接印尼产品部门，根据对业务需求的理解按时落实需求细节，分析并设计合理的业务实现方案，确保技术团队按计划完成开发工作
2、ToB产品需求对接：对接印尼合作方及产品部门，及时沟通产品设计细节，研究新产品业务流程及重点功能，结合现有系统的功能模块协助印尼产品同事输出合理的产品设计
3、需求文档撰写：根据对业务需求的理解编写面向技术团队的业务需求文档，并绘制页面原型图；同时对接印尼本地技术团队，定时输出或更新英文版技术文档
4、产品优化：负责对接印尼产品、风控、运营、财务部门的生产问题反馈，分析提炼产品改进的方向和细节，针对业务需求和问题分析转化开发需求，协助提升产品用户体验
5、其它职责：对业务流程和风险控制等方面提出合理建议，并推动业务方对迭代需求的提出及相关问题的解决。
1、本科以上学历，计算机相关专业优先；
2、有在全英文环境的工作经验，1年以上移动互联网需求分析或产品相关经验；
3、有海外项目经验优先
1、精通英语，具备优秀的英文听说读写能力，能与海外同事用英文无障碍交流，能够输出英文文档；
2、掌握常见的产品和需求分析工具，熟悉移动互联网产品从需求、设计、开发到最终上线的整个流程;
具备较强的执行力和责任心，具备优秀的学习能力、沟通协调能力、逻辑思维能力和解决问题能力，具备开放心态和高成长性，有团队合作精神，结果和目标导向。
加分项
有以下行业经验：互联网金融",红全信息技术(深...,500-999人,互联网金融,2024上半年
需求分析工程师,需求工程师,12-17K,广州,3-5年,本科,"Axure
Visio
软件需求分析管理经验
可适应出差","岗位职责：
1、负责协助售前方案、投标方案，产品技术资料及产品培训课件等文档工作。
2、负责业务调研、竞品调研及客户需求调研，输出调研分析报告。
3、负责产品功能原型设计，功能架构设计、流程设计，并输出PRD等文档。
4、负责与开发团队高效协作，及时向项目经理汇报工作进度和需要协调的资源，推动项目的顺利实施及交付。
任职要求：
1、本科以上学历，计算机技术相关专业优先。
2、3年以上产品需求工程师相关工作经验。
3、较强的文字功底与方案撰写能力，善于分析项目需求，能够依据客户业务现状，经过短期调研后形成产品设计方案。
4、熟练操作办公软件及需求工具。
5、有很强的责任心，优秀的沟通协调能力及抗压能力。
6、能接受出差，包括海外项目出差。",通达电气,1000-9999人,汽车研发/制造,2024上半年
需求分析工程师,业务分析工程师,4-6K·13薪,西安,经验不限,本科,"计算机/软件工程相关专业
软件需求分析管理经验","岗位职责：
1、负责项目需求分析，输出IT需求规格说明书、用户手册，参与需求验证（系统集成测试、UAT），支撑试运行问题解决；
2、基于对业界最佳实践的研究，进行项目IT高阶解决方案IT的设计及IT应用架构设计，确保业务需求符合应用架构规划和公司应用架构原则；
3、负责项目IT的端到端需求管理，组织需求排序，与业务有效沟通确保需求合理性，管理需求变更，及时推动和解决需求相关问题；
4、负责与设计、开发、测试团队紧密合作，并协助开发团队理解和掌握需求共同推动需求开发效率提升；
5、变革与流程信息化治理体系建设与优化，引导变革解决方案建设实施，提供公司架构治理的方向和策略建议；
6、在构建架构的过程中，能很好地平衡可靠性、可用性、可扩展性、可维护性、易管理性、及安全性；
7、管理用户期待，保持用户的满意度；引导和帮助用户走向规范化，不断改进公司的规范化流程；维持良好的客户关系，及时有效地处理用户提出的问题或需求，确保用户良好的满意度；
8、完成主管领导交办的其他工作事项。
任职要求：
1.精通需求调研、策划、需求分析、系统分析及用户需求规格说明编写。
2.有较强的沟通和协调能力，拥有技术功底，能参与技术团队讨论技术方案
3.具有良好的文字功底和组织协调能力
加分项
有以下行业经验：计算机/通信/其他电子设备·智能硬件/消费电子",华天科技集团,10000人以上,电子/半导体/集成电路,2024上半年
